Respondent_ID,Age,Gender,Education,Employment,Monthly_Income,Location,Beer_Consumption_per_week,Satisfaction,Favorite_Flavor,Feedback,Preferred_Drinking_Time,Preferred_Snack_with_Beer,Willing_to_Recommend,Age_group
1781,18,Non-binary,Primary,Self-employed,25000,Manila,7,5,nan,Too bitter for my taste,Morning,Pizza,1,Less than 25
291,46,Prefer not to say,Master's,Self-employed,60000,Davao,6,2,Lager,Could be creamier,nan,Burger,5,45-60
3956,33,Prefer not to say,No formal education,Unemployed,45000,Makati,1,5,Ale,Perfect for weekends,Night,Chips,5,25-45
3867,29,Female,Master's,Student,35000,Makati,6,4,nan,nan,Morning,Sausages,2,25-45
1873,39,Non-binary,Secondary,Employed Full-time,10000,Manila,4,5,Stout,"Strong flavor, love it",Afternoon,Sausages,1,25-45
2901,27,Male,No formal education,Student,25000,Makati,0,1,nan,Light but not distinctive,Night,Sausages,3,25-45
2751,60,Male,No formal education,Student,10000,Cebu,6,4,Lager,nan,Afternoon,nan,1,45-60
1535,37,Female,Primary,Student,30000,Makati,7,2,IPA,Smooth and refreshing,nan,Sausages,2,25-45
200,29,Prefer not to say,No formal education,Employed Full-time,60000,Makati,5,2,Stout,Could be creamier,Morning,Nuts,4,25-45
1870,50,Non-binary,Secondary,Unemployed,25000,Baguio,1,5,Pilsner,Smooth and refreshing,Afternoon,nan,2,45-60
4777,49,Female,Bachelor's,Employed Full-time,60000,Quezon City,7,4,Lager,Light but not distinctive,Morning,Nuts,2,45-60
3809,39,Non-binary,No formal education,Unemployed,25000,Makati,5,2,IPA,Could be creamier,nan,nan,5,25-45
2196,32,Male,Primary,Self-employed,50000,Cebu,5,5,Pilsner,Could be creamier,Afternoon,Sausages,5,25-45
1407,26,Prefer not to say,Secondary,Self-employed,10000,Quezon City,3,2,nan,Light but not distinctive,Night,nan,3,25-45
3108,62,Prefer not to say,Master's,Student,100000,Quezon City,2,2,Lager,Perfect for weekends,Afternoon,Chips,,Greater than 60
1533,42,Prefer not to say,Bachelor's,Self-employed,30000,Quezon City,7,3,Pilsner,Perfect for weekends,Evening,Pizza,3,25-45
1651,33,Female,Secondary,Employed Full-time,15000,Quezon City,6,5,IPA,"Strong flavor, love it",Afternoon,Pizza,,25-45
4711,35,Female,Secondary,Employed Part-time,40000,Davao,0,5,nan,Affordable,nan,Pizza,,25-45
240,36,Female,Primary,Employed Part-time,25000,Davao,6,5,Lager,Perfect for weekends,Evening,Burger,,25-45
1906,23,Prefer not to say,No formal education,Student,60000,Davao,6,1,Stout,Perfect for weekends,Night,Nuts,1,Less than 25
4279,55,Non-binary,Secondary,Self-employed,15000,Manila,3,5,Ale,Affordable,Evening,Pizza,,45-60
4561,62,Non-binary,Vocational,Self-employed,30000,Baguio,2,4,Ale,Perfect for weekends,Evening,Chips,5,Greater than 60
1056,50,Female,Master's,Employed Part-time,60000,Baguio,7,4,nan,nan,Evening,Burger,1,45-60
3241,31,Female,Master's,Employed Part-time,25000,Davao,3,5,Lager,,nan,Chips,1,25-45
2225,64,Prefer not to say,Doctorate,Unemployed,10000,Cebu,3,1,Ale,Affordable,Evening,Nuts,1,Greater than 60
1841,42,Male,Primary,Employed Full-time,,Cebu,3,1,Ale,Light but not distinctive,Afternoon,Chips,5,25-45
4347,62,Non-binary,Secondary,Unemployed,10000,Quezon City,2,3,Ale,,Evening,Chips,5,Greater than 60
108,50,Female,Bachelor's,Retired,45000,Cebu,1,5,IPA,Smooth and refreshing,Morning,Nuts,1,45-60
4473,43,Female,Vocational,Employed Full-time,50000,Quezon City,7,2,Lager,"Strong flavor, love it",Morning,Burger,1,25-45
2395,45,Male,Secondary,Employed Full-time,10000,Davao,2,5,Lager,Affordable,nan,Nuts,,25-45
4303,49,Non-binary,No formal education,Employed Full-time,60000,Quezon City,1,1,Lager,,Afternoon,Nuts,5,45-60
4257,51,Male,Master's,Unemployed,15000,Cebu,1,1,Ale,,Night,Nuts,1,45-60
133,31,Male,Secondary,Student,35000,Makati,4,1,Stout,Light but not distinctive,Afternoon,Chips,5,25-45
3136,28,Prefer not to say,Master's,Employed Full-time,35000,Manila,5,5,Pilsner,Could be creamier,Afternoon,Nuts,3,25-45
1097,30,Prefer not to say,Master's,Student,,Cebu,3,5,Lager,Perfect for weekends,Afternoon,nan,,25-45
2112,50,Non-binary,Bachelor's,Employed Part-time,15000,Davao,1,4,nan,Could be creamier,nan,Sausages,4,45-60
2620,62,Male,Vocational,Unemployed,,Baguio,6,2,Lager,Affordable,nan,Burger,,Greater than 60
1392,64,Male,Doctorate,Student,,Cebu,1,4,Ale,Perfect for weekends,nan,Sausages,,Greater than 60
1879,63,Non-binary,Bachelor's,Unemployed,50000,Cebu,6,2,Pilsner,Could be creamier,Evening,Sausages,1,Greater than 60
506,18,Male,Doctorate,Student,10000,Cebu,0,1,Pilsner,Affordable,nan,Chips,2,Less than 25
4349,34,Male,Secondary,Employed Part-time,20000,Quezon City,7,2,Ale,Could be creamier,Morning,Nuts,3,25-45
2064,59,Prefer not to say,Vocational,Self-employed,15000,Baguio,2,4,Stout,nan,nan,Sausages,,45-60
3890,19,Prefer not to say,Secondary,Retired,50000,Cebu,6,1,IPA,Perfect for weekends,nan,Chips,2,Less than 25
722,18,Male,Master's,Unemployed,50000,Baguio,4,2,IPA,Too bitter for my taste,Night,Chips,5,Less than 25
706,45,Prefer not to say,No formal education,Employed Full-time,15000,Baguio,2,4,Lager,Could be creamier,Evening,Chips,2,25-45
66,21,Non-binary,Doctorate,Student,40000,Manila,7,5,Lager,nan,Night,Sausages,1,Less than 25
2459,26,Prefer not to say,Master's,Employed Part-time,45000,Manila,4,2,Lager,Too bitter for my taste,Morning,nan,,25-45
1145,53,Non-binary,Primary,Retired,30000,Makati,5,4,Pilsner,Could be creamier,Morning,Pizza,3,45-60
280,41,Female,Bachelor's,Employed Full-time,10000,Quezon City,7,5,Lager,Affordable,Evening,Burger,,25-45
4128,60,Non-binary,Primary,Unemployed,35000,Makati,6,5,Lager,Smooth and refreshing,Evening,nan,5,45-60
4507,18,Male,No formal education,Retired,30000,Cebu,4,1,nan,nan,Evening,Burger,,Less than 25
4811,64,Female,Vocational,Self-employed,50000,Cebu,7,5,Pilsner,"Strong flavor, love it",Afternoon,Chips,1,Greater than 60
2312,52,Prefer not to say,Vocational,Employed Full-time,30000,Manila,2,1,Pilsner,Too bitter for my taste,Evening,Nuts,4,45-60
472,53,Male,Master's,Self-employed,20000,Manila,6,4,Stout,nan,Evening,Nuts,1,45-60
169,45,Prefer not to say,Doctorate,Retired,50000,Baguio,3,2,Pilsner,Light but not distinctive,Morning,nan,5,25-45
487,62,Female,Bachelor's,Self-employed,35000,Manila,2,4,nan,nan,Evening,Nuts,3,Greater than 60
1505,30,Female,No formal education,Unemployed,60000,Makati,5,3,Ale,"Strong flavor, love it",Night,nan,,25-45
2178,26,Male,Secondary,Unemployed,100000,Quezon City,6,2,Stout,Affordable,nan,Sausages,2,25-45
2514,36,Prefer not to say,Master's,Employed Full-time,50000,Baguio,3,3,Stout,Affordable,Morning,Chips,3,25-45
3215,31,Prefer not to say,Master's,Self-employed,45000,Manila,3,4,Lager,Affordable,Night,Pizza,,25-45
1469,31,Male,Master's,Self-employed,45000,Cebu,4,5,Ale,,Night,Burger,3,25-45
4774,32,Non-binary,Doctorate,Retired,100000,Manila,4,5,Lager,,nan,nan,2,25-45
2858,47,Non-binary,Secondary,Retired,40000,Quezon City,2,3,Ale,Affordable,Morning,Burger,3,45-60
4943,52,Female,Master's,Self-employed,15000,Davao,5,5,Pilsner,Light but not distinctive,nan,Nuts,4,45-60
2888,23,Non-binary,Bachelor's,Self-employed,20000,Quezon City,4,4,Pilsner,Perfect for weekends,nan,Nuts,2,Less than 25
654,55,Non-binary,Primary,Employed Full-time,15000,Quezon City,2,3,nan,Light but not distinctive,nan,Sausages,5,45-60
1488,52,Female,Vocational,Unemployed,20000,Davao,7,5,nan,Light but not distinctive,Morning,Chips,1,45-60
3510,46,Non-binary,Doctorate,Employed Full-time,20000,Baguio,2,4,Stout,Smooth and refreshing,nan,Pizza,3,45-60
4655,29,Non-binary,Vocational,Employed Full-time,45000,Cebu,6,2,Pilsner,"Strong flavor, love it",Evening,Pizza,5,25-45
152,54,Non-binary,Primary,Employed Full-time,,Davao,2,1,IPA,Smooth and refreshing,nan,nan,5,45-60
4369,36,Non-binary,Secondary,Student,35000,Quezon City,7,5,nan,Perfect for weekends,Evening,Sausages,2,25-45
34,32,Female,Primary,Student,20000,Quezon City,3,4,Lager,Could be creamier,Evening,Burger,2,25-45
2303,24,Female,Bachelor's,Retired,100000,Baguio,7,2,nan,Smooth and refreshing,Morning,Burger,1,Less than 25
2644,63,Non-binary,No formal education,Retired,10000,Baguio,5,3,Pilsner,Too bitter for my taste,nan,Chips,,Greater than 60
1457,43,Non-binary,Bachelor's,Self-employed,35000,Cebu,1,5,Pilsner,,Evening,nan,5,25-45
423,57,Non-binary,Primary,Student,40000,Baguio,5,4,Pilsner,Perfect for weekends,Evening,nan,2,45-60
2874,64,Female,Vocational,Student,,Baguio,5,2,Pilsner,Affordable,Night,Sausages,5,Greater than 60
3204,30,Male,Doctorate,Self-employed,10000,Baguio,2,1,IPA,Light but not distinctive,Afternoon,nan,,25-45
1336,21,Male,Bachelor's,Employed Part-time,50000,Makati,7,5,Stout,nan,Morning,Pizza,2,Less than 25
3789,21,Non-binary,Master's,Self-employed,10000,Davao,1,1,Pilsner,"Strong flavor, love it",Morning,Chips,2,Less than 25
4468,19,Female,No formal education,Employed Part-time,20000,Cebu,1,1,Pilsner,,Evening,Burger,5,Less than 25
2940,30,Male,Bachelor's,Employed Part-time,30000,Cebu,6,4,Lager,,Afternoon,Chips,5,25-45
1159,28,Male,Vocational,Employed Part-time,,Cebu,2,2,Lager,,Evening,Chips,3,25-45
1021,26,Male,Bachelor's,Employed Part-time,100000,Makati,3,3,Pilsner,Light but not distinctive,Night,Burger,5,25-45
4899,43,Non-binary,No formal education,Self-employed,35000,Makati,0,2,nan,Affordable,Morning,Pizza,5,25-45
2299,54,Non-binary,Doctorate,Retired,25000,Manila,3,4,IPA,nan,nan,Sausages,,45-60
1502,46,Female,Primary,Retired,50000,Manila,5,1,Stout,Could be creamier,Morning,Nuts,5,45-60
1472,26,Non-binary,Secondary,Retired,40000,Davao,1,2,Stout,Affordable,Evening,nan,3,25-45
1819,53,Male,Master's,Retired,50000,Quezon City,6,2,nan,Affordable,Night,Nuts,5,45-60
2946,60,Prefer not to say,Vocational,Unemployed,30000,Baguio,3,1,Lager,"Strong flavor, love it",Evening,Chips,5,45-60
3039,57,Male,Doctorate,Self-employed,,Makati,4,3,nan,Smooth and refreshing,Night,Pizza,,45-60
2498,29,Female,Primary,Retired,15000,Quezon City,1,4,IPA,Too bitter for my taste,Night,Chips,,25-45
1894,58,Prefer not to say,Primary,Employed Part-time,10000,Davao,2,1,Lager,Too bitter for my taste,Night,Chips,1,45-60
3474,60,Male,Primary,Student,30000,Quezon City,4,1,Pilsner,Light but not distinctive,nan,Burger,3,45-60
2134,21,Male,Vocational,Self-employed,,Quezon City,3,3,Ale,Affordable,Morning,Sausages,,Less than 25
1452,29,Female,Bachelor's,Self-employed,25000,Makati,7,2,Ale,Could be creamier,Morning,Burger,5,25-45
2334,57,Male,No formal education,Retired,25000,Makati,2,3,nan,Too bitter for my taste,Afternoon,Chips,5,45-60
2116,33,Non-binary,No formal education,Student,60000,Cebu,3,4,Lager,Affordable,Morning,Chips,5,25-45
4884,57,Female,Vocational,Unemployed,30000,Baguio,2,1,Stout,Perfect for weekends,Morning,Chips,5,45-60
965,55,Non-binary,Primary,Unemployed,40000,Davao,1,1,Pilsner,Smooth and refreshing,Night,Nuts,,45-60
1294,19,Prefer not to say,Bachelor's,Unemployed,35000,Cebu,3,2,Pilsner,nan,Night,Nuts,5,Less than 25
4023,43,Non-binary,No formal education,Employed Full-time,60000,Cebu,7,5,nan,Smooth and refreshing,nan,Nuts,5,25-45
1039,22,Non-binary,Secondary,Employed Full-time,100000,Davao,5,4,Lager,Smooth and refreshing,nan,Burger,3,Less than 25
3471,55,Non-binary,No formal education,Student,40000,Quezon City,5,5,Pilsner,Perfect for weekends,Morning,Burger,5,45-60
2852,55,Male,Secondary,Retired,45000,Baguio,2,4,IPA,Light but not distinctive,Night,Burger,4,45-60
578,22,Prefer not to say,Bachelor's,Employed Full-time,45000,Manila,0,4,Ale,Too bitter for my taste,Morning,Sausages,5,Less than 25
4636,55,Male,Primary,Student,,Davao,2,1,Lager,nan,Morning,Chips,3,45-60
3886,54,Male,Bachelor's,Employed Full-time,10000,Cebu,3,2,Pilsner,"Strong flavor, love it",Afternoon,Pizza,1,45-60
1610,20,Male,Primary,Student,10000,Davao,7,1,Ale,Could be creamier,Afternoon,nan,4,Less than 25
3659,34,Non-binary,Primary,Self-employed,15000,Manila,6,3,nan,Too bitter for my taste,Morning,Sausages,5,25-45
3246,55,Prefer not to say,Bachelor's,Employed Part-time,15000,Davao,5,3,IPA,"Strong flavor, love it",nan,nan,1,45-60
643,37,Non-binary,Secondary,Student,50000,Manila,2,4,Stout,Smooth and refreshing,Afternoon,nan,4,25-45
2755,36,Non-binary,Vocational,Unemployed,30000,Makati,3,4,nan,Light but not distinctive,Morning,Pizza,,25-45
3384,63,Female,Vocational,Unemployed,100000,Makati,3,5,nan,Affordable,Evening,Sausages,,Greater than 60
4011,57,Female,Bachelor's,Student,,Makati,0,1,nan,Smooth and refreshing,Morning,Chips,4,45-60
1346,38,Prefer not to say,No formal education,Student,100000,Davao,1,3,Pilsner,nan,Morning,Burger,5,25-45
2866,34,Male,Secondary,Employed Full-time,100000,Makati,6,3,Lager,nan,Morning,Burger,5,25-45
600,29,Non-binary,Vocational,Self-employed,25000,Manila,4,1,IPA,Smooth and refreshing,Morning,Pizza,5,25-45
4471,55,Female,Vocational,Unemployed,35000,Makati,7,1,Stout,Light but not distinctive,nan,Pizza,3,45-60
3483,51,Prefer not to say,Vocational,Employed Full-time,50000,Makati,0,5,Pilsner,Affordable,Evening,Sausages,2,45-60
4909,18,Female,No formal education,Employed Part-time,25000,Cebu,0,1,IPA,Light but not distinctive,Morning,nan,,Less than 25
752,36,Female,Bachelor's,Self-employed,40000,Davao,6,4,Lager,Too bitter for my taste,nan,Pizza,,25-45
4794,36,Female,Doctorate,Retired,20000,Makati,3,5,Stout,Smooth and refreshing,Night,Pizza,,25-45
352,50,Female,Vocational,Retired,,Baguio,3,2,Pilsner,Affordable,Night,nan,4,45-60
842,35,Prefer not to say,Primary,Employed Full-time,50000,Manila,0,2,Stout,Smooth and refreshing,Morning,Sausages,5,25-45
2440,54,Male,Doctorate,Unemployed,10000,Makati,2,5,Ale,Could be creamier,Evening,Nuts,1,45-60
4582,35,Prefer not to say,Master's,Self-employed,25000,Davao,2,1,Pilsner,,Morning,Nuts,4,25-45
1116,53,Female,Doctorate,Student,25000,Quezon City,0,1,Stout,Could be creamier,Morning,Pizza,1,45-60
4784,46,Female,Bachelor's,Employed Part-time,40000,Baguio,0,4,Stout,Light but not distinctive,Night,Sausages,3,45-60
1727,31,Female,Vocational,Employed Part-time,45000,Davao,5,3,Pilsner,Could be creamier,Afternoon,Chips,,25-45
2233,35,Non-binary,Secondary,Unemployed,50000,Quezon City,4,5,nan,Perfect for weekends,Afternoon,Chips,5,25-45
830,57,Non-binary,Vocational,Employed Part-time,50000,Baguio,5,1,Pilsner,,Night,Sausages,,45-60
2556,24,Male,Doctorate,Employed Full-time,30000,Baguio,3,5,Lager,"Strong flavor, love it",nan,Chips,1,Less than 25
